R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.92064D-09 0.81000D+12 0.44668D+15   0.0150  1   31.878  0.01411  269.90  270.12    1.219   27.623   15.32
 0.92064D-09 0.81000D+12 0.50119D+15   0.0150  1   31.878  0.01411  269.90  270.38    0.616   27.043   15.65
 0.48888D-09 0.81000D+12 0.56234D+15   0.0150  1   61.180  0.01865  266.28  267.08   -2.311   24.320   17.97
 0.51223D-09 0.81000D+12 0.63096D+15   0.0150  1   58.282  0.01808  266.67  267.41   -2.720   23.932   18.34
 0.54105D-09 0.81000D+12 0.70795D+15   0.0150  1   55.062  0.01749  267.09  267.73   -3.117   23.552   18.72
 0.56666D-09 0.81000D+12 0.79433D+15   0.0150  1   52.486  0.01704  267.43  268.02   -3.524   23.162   19.10
 0.59865D-09 0.81000D+12 0.89125D+15   0.0150  1   49.588  0.01656  267.80  268.30   -3.916   22.781   19.50
 0.62214D-09 0.81000D+12 0.10000D+16   0.0150  1   47.656  0.01626  268.04  268.57   -4.325   22.388   19.90
 0.38467D-09 0.82500D+12 0.17783D+15   0.0150  1   80.178  0.02338  263.46  264.82    1.139   27.967   14.10
 0.45447D-09 0.82500D+12 0.19953D+15   0.0150  1   67.298  0.01996  265.42  266.32    1.722   28.519   14.12
 0.51623D-09 0.82500D+12 0.22387D+15   0.0150  1   58.926  0.01821  266.58  267.26    1.862   28.666   14.22
 0.58059D-09 0.82500D+12 0.25119D+15   0.0150  1   52.164  0.01699  267.47  268.00    1.864   28.684   14.35
 0.65072D-09 0.82500D+12 0.28184D+15   0.0150  1   46.368  0.01606  268.20  268.62    1.798   28.635   14.50
 0.72963D-09 0.82500D+12 0.31623D+15   0.0150  1   41.216  0.01531  268.82  269.15    1.698   28.552   14.64
 0.80992D-09 0.82500D+12 0.35481D+15   0.0150  1   37.030  0.01475  269.31  269.59    1.527   28.398   14.80
 0.90202D-09 0.82500D+12 0.39811D+15   0.0150  1   33.166  0.01426  269.76  269.99    1.353   28.239   14.96
 0.98654D-09 0.82500D+12 0.44668D+15   0.0150  1   30.268  0.01391  270.09  270.33    1.093   27.993   15.15
 0.92850D-09 0.82500D+12 0.50119D+15   0.0150  1   32.200  0.01414  269.87  270.55    0.247   27.180   15.57
 0.51623D-09 0.82500D+12 0.56234D+15   0.0150  1   58.926  0.01821  266.58  267.36   -2.523   24.607   17.82
