R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   34.78   41.63 0.10021D-08  1  0  0.01446  269.57  268.27 0.11627D+15  2.198   12.967   12.396    7.200   38.234   11.03   13.45   34.30
   35.10   42.02 0.99309D-09  1  0  0.01450  269.54  268.25 0.11605D+15  2.199   12.848   12.277    7.147   38.180   11.04   13.45   34.63
   35.42   42.41 0.98426D-09  1  0  0.01454  269.50  268.24 0.11584D+15  2.199   12.731   12.160    7.094   38.127   11.05   13.45   34.96
   35.74   42.80 0.97560D-09  1  0  0.01458  269.46  268.22 0.11562D+15  2.199   12.616   12.045    7.042   38.074   11.06   13.45   35.28
   36.06   43.19 0.96709D-09  1  0  0.01462  269.43  268.21 0.11541D+15  2.199   12.503   11.932    6.990   38.022   11.07   13.45   35.61
   36.39   43.58 0.95873D-09  1  0  0.01466  269.39  268.19 0.11520D+15  2.200   12.393   11.822    6.938   37.970   11.08   13.45   35.94
   36.71   43.97 0.95052D-09  1  0  0.01471  269.35  268.18 0.11499D+15  2.200   12.284   11.713    6.887   37.918   11.09   13.45   36.27
   37.03   44.37 0.94245D-09  1  0  0.01475  269.31  268.17 0.11478D+15  2.200   12.177   11.606    6.836   37.867   11.10   13.45   36.59
   37.35   44.76 0.93452D-09  1  0  0.01479  269.28  268.15 0.11458D+15  2.201   12.072   11.501    6.786   37.816   11.11   13.45   36.92
   37.67   45.15 0.92672D-09  1  0  0.01483  269.24  268.14 0.11437D+15  2.201   11.969   11.398    6.736   37.766   11.12   13.45   37.25
   38.00   45.54 0.91906D-09  1  0  0.01487  269.20  268.12 0.11417D+15  2.201   11.867   11.296    6.686   37.716   11.13   13.45   37.58
   38.32   45.93 0.91153D-09  1  0  0.01492  269.16  268.10 0.11397D+15  2.202   11.767   11.197    6.637   37.666   11.14   13.45   37.90
   38.64   46.32 0.90412D-09  1  0  0.01496  269.13  268.09 0.11378D+15  2.202   11.669   11.098    6.588   37.617   11.15   13.46   38.23
   38.96   46.71 0.89683D-09  1  0  0.01500  269.09  268.07 0.11358D+15  2.202   11.572   11.002    6.539   37.568   11.16   13.46   38.56
   39.28   47.11 0.88967D-09  1  0  0.01505  269.05  268.06 0.11339D+15  2.203   11.477   10.907    6.491   37.519   11.17   13.46   38.89
   39.61   47.50 0.88262D-09  1  0  0.01509  269.01  268.04 0.11320D+15  2.203   11.384   10.814    6.443   37.471   11.18   13.46   39.21
   39.93   47.89 0.87568D-09  1  0  0.01513  268.97  268.02 0.11301D+15  2.203   11.292   10.722    6.395   37.423   11.19   13.46   39.54
   40.25   48.28 0.86886D-09  1  0  0.01518  268.94  268.01 0.11282D+15  2.204   11.201   10.631    6.348   37.376   11.20   13.47   39.87
   40.57   48.67 0.86214D-09  1  0  0.01522  268.90  267.99 0.11263D+15  2.204   11.112   10.542    6.300   37.328   11.21   13.47   40.20
   40.89   49.06 0.85553D-09  1  0  0.01527  268.86  267.97 0.11245D+15  2.204   11.025   10.455    6.254   37.282   11.22   13.47   40.53
   41.22   49.46 0.84902D-09  1  0  0.01531  268.82  267.96 0.11226D+15  2.205   10.938   10.368    6.207   37.235   11.23   13.47   40.85
   41.54   49.85 0.84262D-09  1  0  0.01536  268.78  267.94 0.11208D+15  2.205   10.853   10.283    6.161   37.189   11.24   13.48   41.18
   41.86   50.24 0.83631D-09  1  0  0.01540  268.74  267.92 0.11190D+15  2.205   10.770   10.200    6.115   37.143   11.24   13.48   41.51
   42.18   50.63 0.83010D-09  1  0  0.01545  268.70  267.90 0.11172D+15  2.206   10.687   10.118    6.069   37.097   11.25   13.48   41.84
   42.50   51.02 0.82398D-09  1  0  0.01549  268.67  267.89 0.11154D+15  2.206   10.606   10.036    6.024   37.052   11.26   13.48   42.17
   42.83   51.42 0.81796D-09  1  0  0.01554  268.63  267.87 0.11137D+15  2.206   10.526    9.957    5.979   37.006   11.27   13.49   42.50
   43.15   51.81 0.81202D-09  1  0  0.01558  268.59  267.85 0.11119D+15  2.207   10.448    9.878    5.934   36.962   11.28   13.49   42.83
   43.47   52.20 0.80617D-09  1  0  0.01563  268.55  267.83 0.11102D+15  2.207   10.370    9.800    5.889   36.917   11.29   13.49   43.15
