R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.49000D+12 0.28184D+14   0.0150   12.150   11.410   12.934
 0.49000D+12 0.31623D+14   0.0150   12.277   11.552   13.041
 0.49000D+12 0.35481D+14   0.0150   12.412   11.699   13.158
 0.49000D+12 0.39811D+14   0.0150   12.553   11.850   13.286
 0.49000D+12 0.44668D+14   0.0150   12.701   12.004   13.424
 0.49000D+12 0.50119D+14   0.0150   12.854   12.161   13.572
 0.49000D+12 0.56234D+14   0.0150   13.012   12.319   13.728
 0.49000D+12 0.63096D+14   0.0150   13.173   12.478   13.891
 0.49000D+12 0.70795D+14   0.0150   13.336   12.637   14.059
 0.49000D+12 0.79433D+14   0.0150   13.500   12.793   14.230
 0.49000D+12 0.89125D+14   0.0150   13.663   12.945   14.403
 0.49000D+12 0.10000D+15   0.0150   13.822   13.091   14.577
 0.49000D+12 0.11220D+15   0.0150   13.977   13.229   14.749
 0.49000D+12 0.12589D+15   0.0150   14.126   13.356   14.920
 0.49000D+12 0.14125D+15   0.0150   14.268   13.470   15.087
 0.49000D+12 0.15849D+15   0.0150   14.401   13.570   15.251
 0.49000D+12 0.17783D+15   0.0150   14.525   13.655   15.410
 0.49000D+12 0.19953D+15   0.0150   14.640   13.722   15.566
 0.49000D+12 0.22387D+15   0.0150   16.155   13.889   21.162
 0.49000D+12 0.25119D+15   0.0150   17.502   14.446   21.985
 0.49000D+12 0.28184D+15   0.0150   18.797   15.255   22.523
