R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.20031D-08 0.26250D+13 0.10000D+16   0.0000  1   47.978  0.00000  268.40  295.29  -35.164   52.691    8.47
 0.20126D-08 0.26375D+13 0.10000D+16   0.0000  1   47.978  0.00000  268.40  295.44  -35.359   52.916    8.44
 0.20354D-08 0.26500D+13 0.10000D+16   0.0000  1   47.656  0.00000  268.43  295.52  -35.603   53.081    8.41
 0.20450D-08 0.26625D+13 0.10000D+16   0.0000  1   47.656  0.00000  268.43  295.67  -35.797   53.306    8.38
 0.20546D-08 0.26750D+13 0.10000D+16   0.0000  1   47.656  0.00000  268.43  295.81  -35.992   53.531    8.34
 0.20642D-08 0.26875D+13 0.10000D+16   0.0000  1   47.656  0.00000  268.43  295.96  -36.186   53.757    8.31
 0.20738D-08 0.27000D+13 0.10000D+16   0.0000  1   47.656  0.00000  268.43  296.10  -36.380   53.983    8.27
 0.20834D-08 0.27125D+13 0.10000D+16   0.0000  1   47.656  0.00000  268.43  296.25  -36.574   54.209    8.24
 0.20930D-08 0.27250D+13 0.10000D+16   0.0000  1   47.656  0.00000  268.43  296.39  -36.767   54.435    8.20
 0.21165D-08 0.27375D+13 0.10000D+16   0.0000  1   47.334  0.00000  268.47  296.47  -37.014   54.597    8.18
 0.21261D-08 0.27500D+13 0.10000D+16   0.0000  1   47.334  0.00000  268.47  296.61  -37.207   54.823    8.15
 0.21358D-08 0.27625D+13 0.10000D+16   0.0000  1   47.334  0.00000  268.47  296.75  -37.401   55.050    8.12
 0.21455D-08 0.27750D+13 0.10000D+16   0.0000  1   47.334  0.00000  268.47  296.90  -37.594   55.276    8.08
 0.21551D-08 0.27875D+13 0.10000D+16   0.0000  1   47.334  0.00000  268.47  297.04  -37.787   55.503    8.05
 0.21648D-08 0.28000D+13 0.10000D+16   0.0000  1   47.334  0.00000  268.47  297.18  -37.980   55.730    8.02
 0.21745D-08 0.28125D+13 0.10000D+16   0.0000  1   47.334  0.00000  268.47  297.32  -38.173   55.957    7.98
 0.21986D-08 0.28250D+13 0.10000D+16   0.0000  1   47.012  0.00000  268.50  297.40  -38.421   56.116    7.97
 0.22084D-08 0.28375D+13 0.10000D+16   0.0000  1   47.012  0.00000  268.50  297.54  -38.613   56.343    7.93
 0.22181D-08 0.28500D+13 0.10000D+16   0.0000  1   47.012  0.00000  268.50  297.68  -38.806   56.570    7.90
 0.22278D-08 0.28625D+13 0.10000D+16   0.0000  1   47.012  0.00000  268.50  297.82  -38.998   56.798    7.87
 0.22375D-08 0.28750D+13 0.10000D+16   0.0000  1   47.012  0.00000  268.50  297.96  -39.190   57.025    7.84
 0.22473D-08 0.28875D+13 0.10000D+16   0.0000  1   47.012  0.00000  268.50  298.10  -39.382   57.253    7.81
 0.22570D-08 0.29000D+13 0.10000D+16   0.0000  1   47.012  0.00000  268.50  298.23  -39.574   57.481    7.78
 0.22819D-08 0.29125D+13 0.10000D+16   0.0000  1   46.690  0.00000  268.54  298.31  -39.825   57.637    7.76
 0.22917D-08 0.29250D+13 0.10000D+16   0.0000  1   46.690  0.00000  268.54  298.44  -40.016   57.865    7.73
 0.23015D-08 0.29375D+13 0.10000D+16   0.0000  1   46.690  0.00000  268.54  298.58  -40.208   58.093    7.70
 0.23113D-08 0.29500D+13 0.10000D+16   0.0000  1   46.690  0.00000  268.54  298.72  -40.399   58.321    7.67
 0.23211D-08 0.29625D+13 0.10000D+16   0.0000  1   46.690  0.00000  268.54  298.86  -40.591   58.549    7.64
 0.23308D-08 0.29750D+13 0.10000D+16   0.0000  1   46.690  0.00000  268.54  298.99  -40.782   58.778    7.61
 0.23406D-08 0.29875D+13 0.10000D+16   0.0000  1   46.690  0.00000  268.54  299.13  -40.972   59.006    7.58
 0.23663D-08 0.30000D+13 0.10000D+16   0.0000  1   46.368  0.00000  268.57  299.20  -41.225   59.160    7.56
